2026-08-10T09:22:45.735062 - Poll 48: Status=busy, TranscriptLen=0
2026-08-10T09:24:08.411054 - Starting polling fallback for Execution 43c9dc99-f040-490a-9504-f62f66362ee0 (Lead: call_1786353847388)
2026-08-10T09:24:18.810422 - Poll 0: Status=queued, TranscriptLen=0
2026-08-10T09:24:29.273342 - Poll 1: Status=queued, TranscriptLen=0
2026-08-10T09:24:39.894086 - Poll 2: Status=ringing, TranscriptLen=0
2026-08-10T09:25:04.202950 - Poll 3: Status=busy, TranscriptLen=0
2026-08-10T09:27:48.665765 - Starting polling fallback for Execution 8da02548-a91e-4dd8-b33c-403491dc7f8f (Lead: call_1786354067452)
2026-08-10T09:27:59.055010 - Poll 0: Status=ringing, TranscriptLen=0
2026-08-10T09:28:09.700958 - Poll 1: Status=ringing, TranscriptLen=0
2026-08-10T09:28:20.328074 - Poll 2: Status=busy, TranscriptLen=0
2026-08-10T09:33:13.703686 - Starting polling fallback for Execution f34ec6ab-121b-4201-9c0f-e22c717d828c (Lead: call_1786354392519)
2026-08-10T09:33:24.266349 - Poll 0: Status=queued, TranscriptLen=0
2026-08-10T09:33:55.302795 - Poll 1: Status=ringing, TranscriptLen=0
2026-08-10T09:34:05.833881 - Poll 2: Status=busy, TranscriptLen=0
2026-08-10T09:38:45.869246 - Starting polling fallback for Execution d0ac6b16-4c46-49cb-9aaf-7ce11cd9421d (Lead: call_1786354724654)
2026-08-10T09:38:56.330906 - Poll 0: Status=ringing, TranscriptLen=0
2026-08-10T09:39:06.979730 - Poll 1: Status=ringing, TranscriptLen=0
2026-08-10T09:39:17.600039 - Poll 2: Status=ringing, TranscriptLen=0
2026-08-10T09:39:28.091270 - Poll 3: Status=busy, TranscriptLen=0
2026-08-10T09:40:51.277986 - Starting polling fallback for Execution 4400abed-5f63-451a-8f96-f29eee48f28b (Lead: call_1786354849935)
2026-08-10T09:41:02.168538 - Poll 0: Status=ringing, TranscriptLen=0
2026-08-10T09:41:12.695261 - Poll 1: Status=ringing, TranscriptLen=0
2026-08-10T09:41:23.249018 - Poll 2: Status=busy, TranscriptLen=0
2026-08-10T09:41:43.681528 - Starting polling fallback for Execution 7f67fb53-682c-4a47-97fb-35be7225d938 (Lead: call_1786354902835)
2026-08-10T09:41:54.185165 - Poll 0: Status=queued, TranscriptLen=0
2026-08-10T09:42:04.782266 - Poll 1: Status=queued, TranscriptLen=0
2026-08-10T09:42:15.378422 - Poll 2: Status=queued, TranscriptLen=0
2026-08-10T09:42:25.874377 - Poll 3: Status=queued, TranscriptLen=0
2026-08-10T09:42:36.396073 - Poll 4: Status=queued, TranscriptLen=0
2026-08-10T09:42:46.953469 - Poll 5: Status=queued, TranscriptLen=0
2026-08-10T09:42:57.463146 - Poll 6: Status=queued, TranscriptLen=0
